id,name,path,size_bytes,type,modified,permissions,owner,group,tags
1,README.md,~/Projects/velocity/README.md,4823,file,2026-03-07T14:22:00Z,644,jasonwilmot,staff,"docs,project"
2,main.swift,~/Projects/velocity/Sources/App/main.swift,1247,file,2026-03-06T09:15:00Z,644,jasonwilmot,staff,source
3,FileService.swift,~/Projects/velocity/Sources/Services/FileService.swift,18432,file,2026-03-05T16:40:00Z,644,jasonwilmot,staff,"source,core"
4,SearchService.swift,~/Projects/velocity/Sources/Services/SearchService.swift,22891,file,2026-03-05T16:42:00Z,644,jasonwilmot,staff,"source,core"
5,TerminalService.swift,~/Projects/velocity/Sources/Services/TerminalService.swift,15678,file,2026-03-04T11:30:00Z,644,jasonwilmot,staff,"source,terminal"
6,BrowserView.swift,~/Projects/velocity/Sources/UI/BrowserView.swift,8934,file,2026-03-07T10:05:00Z,644,jasonwilmot,staff,"source,ui"
7,FileListViewModel.swift,~/Projects/velocity/Sources/ViewModels/FileListViewModel.swift,6721,file,2026-03-06T14:20:00Z,644,jasonwilmot,staff,"source,viewmodel"
8,config.json,~/Projects/velocity/Resources/config.json,2156,file,2026-03-01T08:00:00Z,644,jasonwilmot,staff,config
9,Assets.xcassets,~/Projects/velocity/Resources/Assets.xcassets,0,directory,2026-02-28T12:00:00Z,755,jasonwilmot,staff,resources
10,node_modules,~/Projects/web-dashboard/node_modules,0,directory,2026-03-02T09:30:00Z,755,jasonwilmot,staff,dependencies
11,package-lock.json,~/Projects/web-dashboard/package-lock.json,892451,file,2026-03-02T09:30:00Z,644,jasonwilmot,staff,dependencies
12,vacation-2025.zip,~/Downloads/vacation-2025.zip,1847293440,archive,2026-01-15T20:00:00Z,644,jasonwilmot,staff,"archive,photos"
13,.gitignore,~/Projects/velocity/.gitignore,342,file,2026-02-01T10:00:00Z,644,jasonwilmot,staff,config
14,Makefile,~/Projects/velocity/Makefile,3891,file,2026-03-03T13:45:00Z,644,jasonwilmot,staff,build
15,screenshot.png,~/Desktop/screenshot.png,2458901,file,2026-03-07T15:30:00Z,644,jasonwilmot,staff,image
16,.DS_Store,~/Desktop/.DS_Store,8196,file,2026-03-07T15:31:00Z,644,jasonwilmot,staff,system
17,libarchive.dylib,/usr/local/lib/libarchive.dylib,1245184,file,2025-12-10T00:00:00Z,755,root,wheel,library
18,id_ed25519.pub,~/.ssh/id_ed25519.pub,107,file,2025-06-01T00:00:00Z,644,jasonwilmot,staff,ssh
19,Untitled.txt,~/Documents/Untitled.txt,0,file,2026-03-07T16:00:00Z,644,jasonwilmot,staff,empty
20,backup-2026-03.tar.gz,/Volumes/Backup/backup-2026-03.tar.gz,4738291200,archive,2026-03-01T03:00:00Z,644,root,wheel,"archive,backup"
